site,year,month,date,temp,sal
PGB,2019,Oct,Oct 2019,16.9725,27.44625
PGB,2019,Nov,Nov 2019,,
PGB,2019,Dec,Dec 2019,5.5725,25.6175
KCC,2019,Jan,Jan 2019,,
KCC,2019,Feb,Feb 2019,,
KCC,2019,Mar,Mar 2019,,
KCC,2019,Apr,Apr 2019,,
KCC,2019,May,May 2019,,
KCC,2019,Jun,Jun 2019,19.05,23.8
KCC,2019,Jul,Jul 2019,24.60289643,27.91367857
KCC,2019,Aug,Aug 2019,24.35666667,28.42833333
KCC,2019,Sep,Sep 2019,22.623,28.128
KCC,2019,Oct,Oct 2019,16.73666667,28.84333333
KCC,2019,Nov,Nov 2019,9.855,30.09
KCC,2019,Dec,Dec 2019,,
